Date,Open,High,Low,Close,Volume
2014-12-18,7.43790983607,7.44631147541,7.4278688524600005,7.43504098361,2538.1352459000004
2014-12-19,7.582241379310001,7.597413793099999,7.57120689655,7.583620689660001,2778.20344828
2014-12-22,7.78229571984,7.793385214010001,7.769649805449999,7.78190661479,6414.48249027
2014-12-23,7.77146464646,7.7780303030299995,7.76287878788,7.769444444439999,1944.92929293
2014-12-24,8.32112676056,8.34746478873,8.29464788732,8.32197183099,10216.7267606
2014-12-26,8.49917218543,8.5178807947,8.485761589400001,8.504635761589999,52045.6357616
2014-12-29,9.3902173913,9.41807065217,9.35855978261,9.386956521739998,21635.451087
2014-12-30,9.12195845697,9.14035608309,9.10667655786,9.12433234421,6166.68249258
2014-12-31,9.40939226519,9.434392265189999,9.38812154696,9.41035911602,12830.422651899999
2015-01-01,9.61165730337,9.63146067416,9.592275280900001,9.612921348310001,14989.721910100001
2015-01-02,9.84039548023,9.860593220339998,9.82146892655,9.84152542373,9749.00847458
2015-01-05,9.667359050449999,9.685014836799999,9.649258160239999,9.666913946589998,8014.18991098
2015-01-06,9.04111445783,9.056777108430001,9.023644578310002,9.04036144578,7656.96686747
2015-01-07,8.756761006289999,8.7713836478,8.740723270439998,8.75691823899,6875.88050314
2015-01-14,8.717803030299999,8.72689393939,8.70549242424,8.71534090909,2836.39772727
2015-01-15,8.80970149254,8.82089552239,8.80093283582,8.81156716418,2911.70149254
2015-01-16,8.9126459144,8.92470817121,8.903307393,8.9126459144,3759.18287938
2015-01-19,9.07142857143,9.0853968254,9.05888888889,9.071111111110001,5849.68888889
2015-01-20,8.9666,8.9772,8.9584,8.9684,3604.5240000000003
2015-01-21,8.78833333333,8.79888888889,8.77851851852,8.78833333333,2577.3962963000004
2015-01-22,8.72217573222,8.729707112969999,8.71213389121,8.71882845188,3431.63179916
2015-01-23,8.71265625,8.73125,8.6975,8.714375,6951.709375
2015-01-27,8.761467889910001,8.77087155963,8.75366972477,8.76399082569,2432.66055046
2015-01-28,8.84535714286,8.856071428569999,8.83446428571,8.844464285710002,4116.96428571
2015-01-29,8.8077689243,8.81792828685,8.8,8.809960159360001,2702.02788845
2015-01-30,8.84611111111,8.850555555560002,8.83759259259,8.84314814815,2618.15925926
2015-02-02,8.887351778660001,8.899604743080001,8.87806324111,8.88972332016,3502.94466403
2015-02-03,8.857383966239999,8.86898734177,8.850843881860001,8.86160337553,2356.79324895
2015-02-18,7.81003289474,7.8245065789499995,7.79753289474,7.809210526319999,8425.18421053
2015-02-19,7.77134387352,7.78102766798,7.761660079049999,7.771936758889999,3418.23320158
2015-02-20,8.13294460641,8.155102040820001,8.1112244898,8.13002915452,15240.568513100001
2015-02-23,8.13745387454,8.14704797048,8.12988929889,8.13874538745,3713.78597786
2015-02-24,7.95877862595,7.96812977099,7.947900763360001,7.95839694656,2935.36641221
2015-02-25,7.87459016393,7.88422131148,7.86454918033,7.87540983607,3156.43852459
2015-02-26,7.932591093119999,7.94817813765,7.921457489880001,7.93663967611,9219.38461538
2015-02-27,8.33646496815,8.352229299360001,8.32324840764,8.340286624199999,6242.55414013
2015-02-28,8.10206185567,8.114948453610001,8.090206185569999,8.10412371134,3170.52920962
2015-03-02,7.9576419214,7.965720524019999,7.945414847160001,7.95611353712,3889.96943231
